"","X","pitcher_name"
"805",805,"Pedro Strop"
"806",806,"Daniel McCutchen"
"807",807,"Carlos Carrasco"
"808",808,"Brad Kilby"
"809",809,"Daniel Hudson"
"810",810,"Michael Dunn"
"811",811,"Dan Runzler"
"812",812,"Victor Garate"
"813",813,"Dusty Hughes"
"814",814,"Victor Marte"
"815",815,"Wade Davis"
"816",816,"Josh Towers"
"817",817,"Pedro Viola"
"818",818,"Madison Bumgarner"
"819",819,"Tobi Stoner"
"820",820,"Zack Segovia"
"821",821,"Esmil Rogers"
"822",822,"John Axford"
"823",823,"Cesar Ramos"
"824",824,"Josh Butler"
"825",825,"Henry A. Rodriguez"
"826",826,"Eric Hacker"
"827",827,"Anthony Lerew"
"828",828,"Ernesto Frieri"
"829",829,"Dustin Richardson"
"830",830,"Dusty Brown"
"831",831,"James Russell"
"832",832,"Ramon Ortiz"
"833",833,"Carlos Monasterios"
"834",834,"Jesse English"
"835",835,"David Herndon"
"836",836,"Logan Ondrusek"
"837",837,"Scott Atchison"
"838",838,"Jordan Norberto"
"839",839,"Kanekoa Texeira"
"840",840,"Brad Thomas"
"841",841,"Jenrry Mejia"
"842",842,"Hisanori Takahashi"
"843",843,"Tyson Ross"
"844",844,"Sergio Santos"
"845",845,"Ryota Igarashi"
"846",846,"Alex Burnett"
"847",847,"Bobby Cassevah"
"848",848,"Colby Lewis"
"849",849,"Mike Leake"
"850",850,"Raul Valdes"
"851",851,"Jonny Venters"
"852",852,"Felipe Lopez"
"853",853,"Joe Mather"
"854",854,"Jon Link"
"855",855,"Luis Atilano"
"856",856,"Rommie Lewis"
"857",857,"John Ely"
"858",858,"Daniel Stange"
"859",859,"Hector Ambriz"
"860",860,"Cesar Valdez"
"861",861,"Craig Kimbrel"
"862",862,"Gustavo Chacin"
"863",863,"Blake Wood"
"864",864,"Ivan Nova"
"865",865,"Drew Storen"
"866",866,"Zach Braddock"
"867",867,"Enerio Del Rosario"
"868",868,"Frank Mata"
"869",869,"Jay Buente"
"870",870,"Sam LeCure"
"871",871,"Kevin Cash"
"872",872,"Bill Hall"
"873",873,"Fernando Salas"
"874",874,"Adam Ottavino"
"875",875,"Andrew Cashner"
"876",876,"Casey Daigle"
"877",877,"Chris Capuano"
"878",878,"Frank Herrmann"
"879",879,"Stephen Strasburg"
"880",880,"Brad Lincoln"
"881",881,"Jake Arrieta"
"882",882,"Jordan Smith"
"883",883,"Alexi Ogando"
"884",884,"Sam Demel"
"885",885,"Felix Doubront"
"886",886,"Scott Mathieson"
"887",887,"Scott Strickland"
"888",888,"Jay Sborz"
"889",889,"Michael Zagurski"
"890",890,"Alex Sanabia"
